NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Supply,Vancouver Island Coast,2125,2164,2171,2175,2189,2200,2216,2235,2256,2279,2303
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Supply,North,542,541,538,538,539,536,537,538,540,541,543
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Labour Force Supply,South East,1531,1524,1537,1548,1562,1569,1581,1595,1612,1629,1646
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Supply less Demand,British Columbia,319,106,116,164,217,234,214,189,160,118,79
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Supply less Demand,Mainland South West,336,92,123,184,247,272,250,218,183,141,101
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Supply less Demand,Vancouver Island Coast,-24,1,-3,-4,-12,-17,-16,-14,-14,-14,-14
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Supply less Demand,North,0,9,5,0,-1,-2,-2,-1,0,1,2
#0121,"Insurance, real estate and financial brokerage managers						","#0121Insurance, real estate and financial brokerage managers						",All Industries,Supply less Demand,South East,7,4,-9,-16,-17,-18,-18,-14,-9,-9,-9
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Demand,British Columbia,9571,9604,9705,9815,9939,10044,10187,10316,10427,10544,10653
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Demand,Mainland South West,6999,7023,7090,7174,7271,7364,7492,7606,7699,7792,7878
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Demand,Vancouver Island Coast,914,995,1030,1045,1060,1069,1077,1086,1096,1107,1119
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Demand,North,493,485,487,491,493,491,492,492,492,492,493
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Demand,South East,1165,1101,1098,1105,1116,1120,1126,1132,1141,1152,1163
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Supply,British Columbia,9755,9706,9803,9933,10088,10204,10332,10444,10536,10625,10709
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Supply,Mainland South West,7169,7116,7194,7307,7440,7547,7659,7751,7821,7886,7945
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Supply,Vancouver Island Coast,932,988,1023,1040,1053,1060,1069,1079,1089,1100,1112
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Supply,North,491,493,491,491,492,489,490,490,492,493,495
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Labour Force Supply,South East,1162,1109,1094,1095,1104,1107,1114,1123,1134,1146,1157
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Supply less Demand,British Columbia,184,102,98,118,149,160,145,128,109,81,55
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Supply less Demand,Mainland South West,170,93,104,133,169,183,167,146,122,94,67
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Supply less Demand,Vancouver Island Coast,18,-6,-7,-5,-7,-9,-8,-7,-7,-7,-7
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Supply less Demand,North,-2,8,4,0,-1,-2,-2,-1,0,1,2
#0122,"Banking, credit and other investment managers							","#0122Banking, credit and other investment managers							",All Industries,Supply less Demand,South East,-2,8,-4,-10,-12,-13,-12,-10,-7,-6,-6
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Demand,British Columbia,7651,7748,7852,7967,8072,8174,8296,8413,8517,8628,8733
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Demand,Mainland South West,6452,6518,6601,6702,6794,6884,6992,7095,7183,7275,7362
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Demand,Vancouver Island Coast,747,763,775,782,791,798,806,815,825,836,847
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Demand,South East,452,467,476,483,487,492,497,503,509,516,523
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Supply,British Columbia,7720,7814,7937,8079,8219,8332,8441,8539,8622,8706,8785
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Supply,Mainland South West,6510,6583,6691,6822,6951,7055,7150,7231,7297,7362,7424
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Supply,Vancouver Island Coast,758,765,773,779,786,792,800,810,820,831,842
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Labour Force Supply,South East,452,466,473,478,481,486,491,498,506,513,520
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Supply less Demand,British Columbia,69,66,85,112,147,158,146,127,105,78,53
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Supply less Demand,Mainland South West,58,65,91,120,157,171,158,137,114,87,61
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Supply less Demand,Vancouver Island Coast,11,2,-2,-2,-5,-7,-6,-5,-5,-6,-6
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#0124,"Advertising, marketing and public relations managers						","#0124Advertising, marketing and public relations managers						",All Industries,Supply less Demand,South East,0,-1,-3,-5,-5,-6,-6,-5,-3,-3,-3
#0125,"Other business services managers									","#0125Other business services managers									",All Industries,Labour Force Demand,British Columbia,1527,1536,1559,1583,1605,1624,1647,1669,1686,1705,1721
#0125,"Other business services managers									","#0125Other business services managers									",All Industries,Labour Force Demand,Mainland South West,1280,1290,1310,1331,1351,1368,1390,1409,1424,1440,1453
#0125,"Other business services managers									","#0125Other business services managers									",All Industries,Labour Force Demand,Vancouver Island Coast,135,135,137,138,139,140,141,141,142,144,145
